year,month,zone_id,zone_name,rainfall_mm,temperature_c,humidity_percent,mosquito_index,cases,prev_month_cases
2021,1,1,Thiruvottiyur,3.25,31.73,78.98,0.488,2035,0.0
2021,2,1,Thiruvottiyur,8.06,30.46,78.59,0.521,1866,2035.0
2021,3,1,Thiruvottiyur,4.66,31.2,77.94,0.497,1821,1866.0
2021,4,1,Thiruvottiyur,15.92,34.7,67.8,0.409,1879,1821.0
2021,5,1,Thiruvottiyur,7.76,35.67,62.87,0.354,1856,1879.0
2021,6,1,Thiruvottiyur,14.02,38.57,51.46,0.262,1780,1856.0
2021,7,1,Thiruvottiyur,19.75,36.75,53.01,0.316,1781,1780.0
2021,8,1,Thiruvottiyur,3.45,32.33,53.85,0.376,1806,1781.0
2021,9,1,Thiruvottiyur,202.6,25.56,94.65,0.89,3655,1806.0
2021,10,1,Thiruvottiyur,256.06,29.7,77.34,0.903,6002,3655.0
2021,11,1,Thiruvottiyur,234.35,26.73,93.4,0.908,8852,6002.0
2021,12,1,Thiruvottiyur,323.17,26.71,91.35,0.9,12225,8852.0
2022,1,1,Thiruvottiyur,38.55,24.6,62.13,0.418,3556,12225.0
2022,2,1,Thiruvottiyur,23.99,30.99,72.55,0.518,2210,3556.0
2022,3,1,Thiruvottiyur,29.62,26.78,76.49,0.501,1952,2210.0
2022,4,1,Thiruvottiyur,13.09,39.61,55.47,0.256,1757,1952.0
2022,5,1,Thiruvottiyur,2.09,37.65,62.73,0.302,1732,1757.0
2022,6,1,Thiruvottiyur,7.18,33.31,61.86,0.396,1911,1732.0
2022,7,1,Thiruvottiyur,18.62,37.41,63.79,0.344,1868,1911.0
2022,8,1,Thiruvottiyur,3.62,33.45,63.62,0.393,1959,1868.0
2022,9,1,Thiruvottiyur,282.66,25.3,84.3,0.843,4123,1959.0
2022,10,1,Thiruvottiyur,209.88,28.2,77.11,0.873,7125,4123.0
2022,11,1,Thiruvottiyur,259.3,29.48,88.19,0.942,12190,7125.0
2022,12,1,Thiruvottiyur,294.11,25.89,88.12,0.87,18346,12190.0
2023,1,1,Thiruvottiyur,39.24,30.31,74.15,0.569,5635,18346.0
2023,2,1,Thiruvottiyur,33.19,28.48,79.27,0.553,2829,5635.0
2023,3,1,Thiruvottiyur,39.9,31.32,67.92,0.525,2083,2829.0
2023,4,1,Thiruvottiyur,16.74,37.14,55.59,0.313,1929,2083.0
2023,5,1,Thiruvottiyur,13.38,39.03,66.59,0.312,1881,1929.0
2023,6,1,Thiruvottiyur,1.19,37.49,62.08,0.301,1789,1881.0
2023,7,1,Thiruvottiyur,19.76,37.51,59.08,0.326,1806,1789.0
2023,8,1,Thiruvottiyur,4.06,35.09,65.24,0.367,1912,1806.0
2023,9,1,Thiruvottiyur,300.87,27.03,93.58,0.915,4369,1912.0
2023,10,1,Thiruvottiyur,190.01,27.5,94.14,0.907,7760,4369.0
2023,11,1,Thiruvottiyur,295.09,26.99,84.16,0.876,12221,7760.0
2023,12,1,Thiruvottiyur,279.58,28.2,79.95,0.884,18702,12221.0
2024,1,1,Thiruvottiyur,34.68,29.24,75.42,0.556,5519,18702.0
2024,2,1,Thiruvottiyur,36.35,31.58,71.24,0.526,2639,5519.0
2024,3,1,Thiruvottiyur,20.18,29.64,74.76,0.532,2036,2639.0
2024,4,1,Thiruvottiyur,13.46,39.61,51.62,0.241,1849,2036.0
2024,5,1,Thiruvottiyur,10.06,38.87,53.88,0.258,1814,1849.0
2024,6,1,Thiruvottiyur,16.87,34.67,59.7,0.379,1966,1814.0
2024,7,1,Thiruvottiyur,8.5,36.06,68.16,0.368,1905,1966.0
2024,8,1,Thiruvottiyur,15.13,37.66,58.85,0.312,1853,1905.0
2024,9,1,Thiruvottiyur,116.75,29.08,94.51,0.793,3892,1853.0
2024,10,1,Thiruvottiyur,213.5,25.63,90.25,0.874,6789,3892.0
2024,11,1,Thiruvottiyur,140.17,27.25,75.5,0.727,9235,6789.0
2024,12,1,Thiruvottiyur,101.72,28.32,79.25,0.687,11512,9235.0
2025,1,1,Thiruvottiyur,10.45,27.73,61.69,0.422,3406,11512.0
2025,2,1,Thiruvottiyur,42.23,27.03,68.63,0.5,2239,3406.0
2025,3,1,Thiruvottiyur,41.62,25.79,76.11,0.504,1897,2239.0
2025,4,1,Thiruvottiyur,5.06,32.82,67.31,0.423,2019,1897.0
2025,5,1,Thiruvottiyur,6.85,32.76,52.69,0.369,1980,2019.0
2025,6,1,Thiruvottiyur,14.6,37.13,57.3,0.316,1880,1980.0
2025,7,1,Thiruvottiyur,15.1,38.63,61.73,0.305,1777,1880.0
2025,8,1,Thiruvottiyur,16.78,36.05,52.91,0.324,1768,1777.0
2025,9,1,Thiruvottiyur,316.61,28.46,76.19,0.874,3852,1768.0
2025,10,1,Thiruvottiyur,176.6,27.94,86.1,0.856,6681,3852.0
2025,11,1,Thiruvottiyur,302.21,26.51,92.51,0.9,11115,6681.0
2025,12,1,Thiruvottiyur,319.98,27.54,85.11,0.891,17030,11115.0
2021,1,2,Manali,4.88,27.52,73.68,0.455,1844,0.0
2021,2,2,Manali,40.18,31.14,63.73,0.512,1963,1844.0
2021,3,2,Manali,17.46,31.18,74.52,0.509,2049,1963.0
2021,4,2,Manali,11.57,35.72,50.72,0.312,2002,2049.0
2021,5,2,Manali,7.72,39.24,69.22,0.307,1935,2002.0
2021,6,2,Manali,1.7,34.99,69.73,0.382,2060,1935.0
2021,7,2,Manali,16.84,35.75,66.77,0.386,2109,2060.0
2021,8,2,Manali,3.54,32.97,51.77,0.355,2079,2109.0
2021,9,2,Manali,316.38,26.29,91.34,0.891,5089,2079.0
2021,10,2,Manali,134.82,28.1,90.88,0.795,9529,5089.0
2021,11,2,Manali,213.05,27.26,79.49,0.863,17649,9529.0
2021,12,2,Manali,247.57,28.12,80.36,0.884,32400,17649.0
2022,1,2,Manali,34.42,25.97,68.7,0.463,10293,32400.0
2022,2,2,Manali,36.88,24.88,64.78,0.431,4032,10293.0
2022,3,2,Manali,13.35,30.38,77.57,0.529,2751,4032.0
2022,4,2,Manali,18.87,37.11,58.39,0.329,2316,2751.0
2022,5,2,Manali,14.18,37.71,67.42,0.344,2274,2316.0
2022,6,2,Manali,5.16,34.6,63.13,0.371,2312,2274.0
2022,7,2,Manali,7.88,32.85,63.02,0.411,2358,2312.0
2022,8,2,Manali,2.14,34.05,61.35,0.369,2343,2358.0
2022,9,2,Manali,143.83,26.0,88.8,0.763,5643,2343.0
2022,10,2,Manali,262.55,25.31,78.04,0.818,12296,5643.0
2022,11,2,Manali,116.66,25.75,85.37,0.69,21266,12296.0
2022,12,2,Manali,334.35,25.82,75.86,0.82,41668,21266.0
2023,1,2,Manali,7.37,27.47,66.56,0.43,11712,41668.0
2023,2,2,Manali,20.94,29.85,65.2,0.5,4914,11712.0
2023,3,2,Manali,34.79,26.53,75.87,0.504,2991,4914.0
2023,4,2,Manali,6.11,32.27,54.25,0.384,2526,2991.0
2023,5,2,Manali,8.61,35.48,56.34,0.333,2311,2526.0
2023,6,2,Manali,9.12,32.97,57.38,0.388,2311,2311.0
2023,7,2,Manali,0.55,39.71,60.11,0.247,2005,2311.0
2023,8,2,Manali,11.55,39.85,67.31,0.295,2027,2005.0
2023,9,2,Manali,219.11,28.2,79.52,0.882,5606,2027.0
2023,10,2,Manali,152.22,26.85,82.37,0.771,11276,5606.0
2023,11,2,Manali,157.06,27.42,79.93,0.782,22059,11276.0
2023,12,2,Manali,241.27,27.49,90.43,0.912,48039,22059.0
2024,1,2,Manali,26.95,27.4,65.65,0.465,14080,48039.0
2024,2,2,Manali,8.15,29.88,75.72,0.517,5675,14080.0
2024,3,2,Manali,19.88,25.64,65.29,0.414,2846,5675.0
2024,4,2,Manali,16.46,36.35,68.65,0.38,2445,2846.0
2024,5,2,Manali,17.18,35.51,64.97,0.384,2374,2445.0
2024,6,2,Manali,3.67,39.06,67.1,0.295,2133,2374.0
2024,7,2,Manali,13.92,38.57,57.66,0.287,2078,2133.0
2024,8,2,Manali,11.94,39.43,68.56,0.309,2064,2078.0
2024,9,2,Manali,121.28,25.36,82.71,0.681,4679,2064.0
2024,10,2,Manali,244.83,28.22,84.79,0.904,11190,4679.0
2024,11,2,Manali,281.15,28.04,77.23,0.87,23920,11190.0
2024,12,2,Manali,321.15,29.55,92.91,0.963,54666,23920.0
2025,1,2,Manali,11.06,30.47,67.62,0.483,16861,54666.0
2025,2,2,Manali,42.21,28.11,69.68,0.525,6553,16861.0
2025,3,2,Manali,46.52,27.6,61.91,0.493,3324,6553.0
2025,4,2,Manali,6.49,36.75,63.53,0.332,2523,3324.0
2025,5,2,Manali,8.04,38.24,64.58,0.31,2146,2523.0
2025,6,2,Manali,14.03,34.87,61.13,0.375,2309,2146.0
2025,7,2,Manali,12.6,38.27,66.57,0.326,2153,2309.0
2025,8,2,Manali,11.48,39.02,61.32,0.288,2069,2153.0
2025,9,2,Manali,237.15,27.6,83.05,0.884,5749,2069.0
2025,10,2,Manali,120.39,25.86,76.76,0.665,10314,5749.0
2025,11,2,Manali,291.16,28.45,77.93,0.881,22767,10314.0
