year,month,zone_id,zone_name,rainfall_mm,temperature_c,water_quality_index,sanitation_index,cases,prev_month_cases
2015,1,1,Thiruvottiyur,30.59,25.12,62.92,65,173,209.0
2015,2,1,Thiruvottiyur,31.82,26.51,65.09,65,178,173.0
2015,3,1,Thiruvottiyur,17.05,24.91,69.25,65,138,178.0
2015,4,1,Thiruvottiyur,8.81,39.67,51.44,65,336,138.0
2015,5,1,Thiruvottiyur,15.09,40.0,49.1,65,421,336.0
2015,6,1,Thiruvottiyur,16.49,37.09,58.65,65,342,421.0
2015,7,1,Thiruvottiyur,46.64,30.93,60.45,65,252,342.0
2015,8,1,Thiruvottiyur,23.7,29.34,61.72,65,206,252.0
2015,9,1,Thiruvottiyur,223.12,29.91,38.81,65,402,206.0
2015,10,1,Thiruvottiyur,287.27,25.58,40.67,65,478,402.0
2015,11,1,Thiruvottiyur,767.94,26.73,10.0,65,796,478.0
2015,12,1,Thiruvottiyur,719.94,27.13,10.0,65,882,796.0
2016,1,1,Thiruvottiyur,28.4,31.32,60.34,65,426,882.0
2016,2,1,Thiruvottiyur,49.75,25.39,63.96,65,226,426.0
2016,3,1,Thiruvottiyur,27.06,31.7,63.42,65,144,226.0
2016,4,1,Thiruvottiyur,1.93,38.07,50.01,65,198,144.0
2016,5,1,Thiruvottiyur,21.82,39.2,48.76,65,210,198.0
2016,6,1,Thiruvottiyur,1.25,35.04,64.77,65,164,210.0
2016,7,1,Thiruvottiyur,26.68,28.86,67.65,65,105,164.0
2016,8,1,Thiruvottiyur,21.41,29.74,66.92,65,61,105.0
2016,9,1,Thiruvottiyur,345.23,26.9,34.26,65,205,61.0
2016,10,1,Thiruvottiyur,103.64,26.21,59.4,65,144,205.0
2016,11,1,Thiruvottiyur,324.42,29.06,34.12,65,202,144.0
2016,12,1,Thiruvottiyur,365.86,27.97,27.33,65,268,202.0
2017,1,1,Thiruvottiyur,37.57,29.26,69.57,65,107,268.0
2017,2,1,Thiruvottiyur,43.89,31.04,68.71,65,61,107.0
2017,3,1,Thiruvottiyur,35.6,30.61,61.01,65,73,61.0
2017,4,1,Thiruvottiyur,7.19,39.56,43.94,65,206,73.0
2017,5,1,Thiruvottiyur,12.65,36.88,59.38,65,165,206.0
2017,6,1,Thiruvottiyur,10.38,35.08,55.05,65,162,165.0
2017,7,1,Thiruvottiyur,6.53,30.32,61.25,65,129,162.0
2017,8,1,Thiruvottiyur,14.98,24.61,65.01,65,100,129.0
2017,9,1,Thiruvottiyur,389.81,28.81,30.53,65,222,100.0
2017,10,1,Thiruvottiyur,392.26,29.24,21.01,65,326,222.0
2017,11,1,Thiruvottiyur,327.19,25.81,32.05,65,309,326.0
2017,12,1,Thiruvottiyur,382.24,27.53,25.87,65,333,309.0
2018,1,1,Thiruvottiyur,17.27,26.68,69.79,65,169,333.0
2018,2,1,Thiruvottiyur,3.38,28.15,61.79,65,155,169.0
2018,3,1,Thiruvottiyur,12.38,24.5,64.59,65,111,155.0
2018,4,1,Thiruvottiyur,16.6,37.52,50.63,65,183,111.0
2018,5,1,Thiruvottiyur,23.75,37.16,51.44,65,190,183.0
2018,6,1,Thiruvottiyur,24.65,38.62,53.92,65,176,190.0
2018,7,1,Thiruvottiyur,46.46,26.74,65.28,65,120,176.0
2018,8,1,Thiruvottiyur,16.31,26.4,62.33,65,86,120.0
2018,9,1,Thiruvottiyur,185.71,29.64,51.13,65,133,86.0
2018,10,1,Thiruvottiyur,303.22,27.83,38.97,65,194,133.0
2018,11,1,Thiruvottiyur,349.28,25.6,32.42,65,251,194.0
2018,12,1,Thiruvottiyur,380.12,28.42,27.3,65,288,251.0
2019,1,1,Thiruvottiyur,33.55,30.44,69.47,65,136,288.0
2019,2,1,Thiruvottiyur,22.11,26.68,63.95,65,104,136.0
2019,3,1,Thiruvottiyur,31.27,29.98,62.19,65,78,104.0
2019,4,1,Thiruvottiyur,11.66,35.68,54.24,65,133,78.0
2019,5,1,Thiruvottiyur,20.27,36.77,58.13,65,142,133.0
2019,6,1,Thiruvottiyur,28.08,38.71,50.55,65,172,142.0
2019,7,1,Thiruvottiyur,49.48,29.47,69.49,65,81,172.0
2019,8,1,Thiruvottiyur,28.19,26.09,66.95,65,69,81.0
2019,9,1,Thiruvottiyur,171.72,28.79,50.43,65,129,69.0
2019,10,1,Thiruvottiyur,354.73,26.92,26.21,65,283,129.0
2019,11,1,Thiruvottiyur,253.72,26.74,38.38,65,279,283.0
2019,12,1,Thiruvottiyur,380.44,29.55,30.15,65,333,279.0
2020,1,1,Thiruvottiyur,12.04,27.09,60.81,65,187,333.0
2020,2,1,Thiruvottiyur,23.76,31.18,65.25,65,132,187.0
2020,3,1,Thiruvottiyur,40.26,25.49,60.85,65,121,132.0
2020,4,1,Thiruvottiyur,18.1,34.56,62.94,65,138,121.0
2020,5,1,Thiruvottiyur,22.27,35.6,54.09,65,170,138.0
2020,6,1,Thiruvottiyur,22.86,40.25,46.2,65,262,170.0
2020,7,1,Thiruvottiyur,0.45,29.19,65.11,65,152,262.0
2020,8,1,Thiruvottiyur,3.4,26.54,62.67,65,122,152.0
2020,9,1,Thiruvottiyur,240.18,25.53,42.48,65,229,122.0
2020,10,1,Thiruvottiyur,130.56,29.56,55.15,65,201,229.0
2020,11,1,Thiruvottiyur,187.67,26.47,44.78,65,233,201.0
2020,12,1,Thiruvottiyur,346.9,26.18,31.83,65,303,233.0
2021,1,1,Thiruvottiyur,0.37,27.38,67.18,65,156,303.0
2021,2,1,Thiruvottiyur,11.72,24.16,68.79,65,119,156.0
2021,3,1,Thiruvottiyur,20.9,30.83,68.56,65,65,119.0
2021,4,1,Thiruvottiyur,26.23,36.47,58.56,65,115,65.0
2021,5,1,Thiruvottiyur,17.8,35.47,54.99,65,198,115.0
2021,6,1,Thiruvottiyur,19.9,39.85,45.02,65,247,198.0
2021,7,1,Thiruvottiyur,12.16,29.96,61.68,65,149,247.0
2021,8,1,Thiruvottiyur,45.77,30.1,65.05,65,86,149.0
2021,9,1,Thiruvottiyur,166.53,28.9,45.36,65,153,86.0
2021,10,1,Thiruvottiyur,382.57,28.7,22.61,65,320,153.0
2021,11,1,Thiruvottiyur,175.36,26.6,43.81,65,266,320.0
2021,12,1,Thiruvottiyur,167.08,29.67,46.74,65,223,266.0
2022,1,1,Thiruvottiyur,46.63,30.88,67.1,65,122,223.0
2022,2,1,Thiruvottiyur,24.59,31.17,68.07,65,76,122.0
2022,3,1,Thiruvottiyur,21.8,29.99,68.28,65,65,76.0
2022,4,1,Thiruvottiyur,27.9,37.39,53.94,65,118,65.0
2022,5,1,Thiruvottiyur,4.87,37.41,56.37,65,158,118.0
2022,6,1,Thiruvottiyur,8.02,37.56,50.07,65,197,158.0
2022,7,1,Thiruvottiyur,3.9,24.85,64.93,65,108,197.0
2022,8,1,Thiruvottiyur,6.05,24.63,65.27,65,81,108.0
2022,9,1,Thiruvottiyur,281.2,29.36,41.87,65,173,81.0
2022,10,1,Thiruvottiyur,125.39,25.6,49.71,65,174,173.0
2022,11,1,Thiruvottiyur,234.52,26.6,43.99,65,215,174.0
2022,12,1,Thiruvottiyur,380.8,28.39,26.06,65,298,215.0
2023,1,1,Thiruvottiyur,35.44,25.99,63.24,65,218,298.0
2023,2,1,Thiruvottiyur,15.16,29.58,67.9,65,143,218.0
2023,3,1,Thiruvottiyur,16.86,26.1,61.22,65,182,143.0
2023,4,1,Thiruvottiyur,20.81,34.28,65.2,65,172,182.0
2023,5,1,Thiruvottiyur,26.53,40.04,46.84,65,412,172.0
2023,6,1,Thiruvottiyur,13.09,35.36,62.25,65,317,412.0
2023,7,1,Thiruvottiyur,20.59,26.66,66.69,65,189,317.0
2023,8,1,Thiruvottiyur,43.21,27.72,67.44,65,148,189.0
2023,9,1,Thiruvottiyur,172.45,27.55,46.55,65,313,148.0
2023,10,1,Thiruvottiyur,169.47,25.91,51.16,65,316,313.0
2023,11,1,Thiruvottiyur,557.27,26.94,10.0,65,693,316.0
2023,12,1,Thiruvottiyur,414.24,27.49,24.12,65,740,693.0
2024,1,1,Thiruvottiyur,12.57,25.39,69.58,65,339,740.0
2024,2,1,Thiruvottiyur,20.54,29.76,65.12,65,203,339.0
