year,month,zone_id,zone_name,rainfall_mm,temperature_c,water_quality_index,food_hygiene_index,cases,prev_month_cases
2015,1,1,Thiruvottiyur,314.15,24.7,42.72,59.64,69,32.0
2015,2,1,Thiruvottiyur,58.59,32.81,62.52,67.97,45,69.0
2015,3,1,Thiruvottiyur,29.25,32.26,63.17,64.69,45,45.0
2015,4,1,Thiruvottiyur,28.84,41.24,38.97,63.03,98,45.0
2015,5,1,Thiruvottiyur,18.6,36.22,57.98,65.59,72,98.0
2015,6,1,Thiruvottiyur,5.07,36.23,54.2,63.32,69,72.0
2015,7,1,Thiruvottiyur,51.53,32.83,61.24,70.31,62,69.0
2015,8,1,Thiruvottiyur,26.67,29.99,65.37,72.2,34,62.0
2015,9,1,Thiruvottiyur,37.71,31.26,68.3,65.06,42,34.0
2015,10,1,Thiruvottiyur,267.96,27.14,51.98,56.95,60,42.0
2015,11,1,Thiruvottiyur,715.91,25.3,17.67,59.46,88,60.0
2015,12,1,Thiruvottiyur,754.53,28.35,17.72,54.25,128,88.0
2016,1,1,Thiruvottiyur,323.69,28.34,43.58,58.34,72,128.0
2016,2,1,Thiruvottiyur,37.51,28.22,66.33,72.51,32,72.0
2016,3,1,Thiruvottiyur,32.36,31.0,65.16,72.19,25,32.0
2016,4,1,Thiruvottiyur,27.05,37.69,55.52,68.77,31,25.0
2016,5,1,Thiruvottiyur,4.47,36.44,62.63,62.3,28,31.0
2016,6,1,Thiruvottiyur,12.56,36.08,63.57,61.91,30,28.0
2016,7,1,Thiruvottiyur,51.3,28.5,62.4,64.42,22,30.0
2016,8,1,Thiruvottiyur,40.54,29.4,62.07,68.17,16,22.0
2016,9,1,Thiruvottiyur,17.13,32.45,63.46,64.54,22,16.0
2016,10,1,Thiruvottiyur,319.31,28.63,43.48,64.69,36,22.0
2016,11,1,Thiruvottiyur,232.06,28.82,51.4,62.05,32,36.0
2016,12,1,Thiruvottiyur,149.28,27.11,55.83,51.66,41,32.0
2017,1,1,Thiruvottiyur,403.37,25.41,38.92,52.86,38,41.0
2017,2,1,Thiruvottiyur,35.24,31.59,68.63,64.79,24,38.0
2017,3,1,Thiruvottiyur,31.72,31.62,60.09,68.89,19,24.0
2017,4,1,Thiruvottiyur,4.96,34.02,67.28,64.56,11,19.0
2017,5,1,Thiruvottiyur,6.45,37.4,54.87,60.34,14,11.0
2017,6,1,Thiruvottiyur,25.14,40.42,46.09,63.08,26,14.0
2017,7,1,Thiruvottiyur,37.84,32.23,67.96,64.75,19,26.0
2017,8,1,Thiruvottiyur,32.14,29.31,63.43,71.35,20,19.0
2017,9,1,Thiruvottiyur,56.63,28.59,69.34,69.84,12,20.0
2017,10,1,Thiruvottiyur,392.23,28.87,36.17,65.33,33,12.0
2017,11,1,Thiruvottiyur,312.1,28.25,46.53,60.96,28,33.0
2017,12,1,Thiruvottiyur,274.35,27.45,44.79,61.61,28,28.0
2018,1,1,Thiruvottiyur,387.17,28.13,37.72,60.12,30,28.0
2018,2,1,Thiruvottiyur,30.79,30.74,64.03,68.2,19,30.0
2018,3,1,Thiruvottiyur,49.09,31.83,66.92,72.66,10,19.0
2018,4,1,Thiruvottiyur,29.48,36.0,60.63,68.59,13,10.0
2018,5,1,Thiruvottiyur,8.22,41.65,40.59,58.66,25,13.0
2018,6,1,Thiruvottiyur,22.47,36.86,53.3,67.32,23,25.0
2018,7,1,Thiruvottiyur,13.74,28.53,68.37,65.4,10,23.0
2018,8,1,Thiruvottiyur,25.22,32.91,66.43,70.18,13,10.0
2018,9,1,Thiruvottiyur,49.18,28.05,67.62,71.93,14,13.0
2018,10,1,Thiruvottiyur,167.29,25.55,52.96,52.7,17,14.0
2018,11,1,Thiruvottiyur,343.84,27.63,46.82,59.39,24,17.0
2018,12,1,Thiruvottiyur,182.38,26.47,49.96,50.29,30,24.0
2019,1,1,Thiruvottiyur,195.1,28.08,47.88,57.64,26,30.0
2019,2,1,Thiruvottiyur,22.41,32.94,63.89,70.33,18,26.0
2019,3,1,Thiruvottiyur,33.6,30.45,68.47,71.32,10,18.0
2019,4,1,Thiruvottiyur,4.27,34.42,59.28,68.24,15,10.0
2019,5,1,Thiruvottiyur,0.88,38.94,50.62,64.05,15,15.0
2019,6,1,Thiruvottiyur,16.55,40.73,44.12,61.22,38,15.0
2019,7,1,Thiruvottiyur,33.54,28.25,61.91,70.91,19,38.0
2019,8,1,Thiruvottiyur,31.89,29.15,62.91,70.72,13,19.0
2019,9,1,Thiruvottiyur,28.33,31.1,61.59,72.68,17,13.0
2019,10,1,Thiruvottiyur,256.37,24.04,46.51,55.21,27,17.0
2019,11,1,Thiruvottiyur,318.11,24.37,40.62,58.7,31,27.0
2019,12,1,Thiruvottiyur,145.88,27.83,59.75,52.37,18,31.0
2020,1,1,Thiruvottiyur,110.92,28.83,55.64,56.36,26,18.0
2020,2,1,Thiruvottiyur,19.67,29.05,60.23,71.97,15,26.0
2020,3,1,Thiruvottiyur,48.98,29.26,68.3,70.04,20,15.0
2020,4,1,Thiruvottiyur,18.64,40.22,44.91,63.27,41,20.0
2020,5,1,Thiruvottiyur,0.73,38.65,48.24,64.54,43,41.0
2020,6,1,Thiruvottiyur,14.77,41.05,44.24,61.43,51,43.0
2020,7,1,Thiruvottiyur,36.22,32.03,63.53,69.42,23,51.0
2020,8,1,Thiruvottiyur,58.19,30.69,62.88,64.2,24,23.0
2020,9,1,Thiruvottiyur,41.14,30.06,68.6,65.52,22,24.0
2020,10,1,Thiruvottiyur,154.72,26.19,57.12,59.84,24,22.0
2020,11,1,Thiruvottiyur,428.5,24.93,41.38,53.78,31,24.0
2020,12,1,Thiruvottiyur,432.63,28.79,31.31,58.63,43,31.0
2021,1,1,Thiruvottiyur,118.88,26.58,53.57,53.99,25,43.0
2021,2,1,Thiruvottiyur,42.45,29.75,69.17,64.34,19,25.0
2021,3,1,Thiruvottiyur,35.75,28.83,69.78,64.08,15,19.0
2021,4,1,Thiruvottiyur,28.1,37.03,58.84,63.36,25,15.0
2021,5,1,Thiruvottiyur,0.57,34.8,64.49,63.87,23,25.0
2021,6,1,Thiruvottiyur,15.15,38.25,55.16,64.79,31,23.0
2021,7,1,Thiruvottiyur,14.99,29.82,65.01,63.43,18,31.0
2021,8,1,Thiruvottiyur,48.62,28.85,60.44,69.54,16,18.0
2021,9,1,Thiruvottiyur,45.7,31.68,61.38,72.66,19,16.0
2021,10,1,Thiruvottiyur,348.59,24.58,45.24,57.61,30,19.0
2021,11,1,Thiruvottiyur,123.32,28.88,52.38,52.86,25,30.0
2021,12,1,Thiruvottiyur,314.31,27.58,46.62,56.1,25,25.0
2022,1,1,Thiruvottiyur,131.94,27.39,60.85,53.35,29,25.0
2022,2,1,Thiruvottiyur,34.38,30.89,66.89,64.07,24,29.0
2022,3,1,Thiruvottiyur,56.86,31.14,63.22,65.46,14,24.0
2022,4,1,Thiruvottiyur,26.06,38.29,48.52,62.72,28,14.0
2022,5,1,Thiruvottiyur,5.86,35.32,58.32,64.38,25,28.0
2022,6,1,Thiruvottiyur,13.49,38.35,56.27,66.24,18,25.0
2022,7,1,Thiruvottiyur,35.63,31.38,69.6,65.54,17,18.0
2022,8,1,Thiruvottiyur,43.54,30.35,63.47,71.62,19,17.0
2022,9,1,Thiruvottiyur,45.89,32.49,69.02,66.29,24,19.0
2022,10,1,Thiruvottiyur,401.94,25.96,35.94,63.93,38,24.0
2022,11,1,Thiruvottiyur,111.24,24.67,54.71,59.71,19,38.0
2022,12,1,Thiruvottiyur,414.92,25.68,41.07,63.03,29,19.0
2023,1,1,Thiruvottiyur,208.99,24.61,51.0,55.07,62,29.0
2023,2,1,Thiruvottiyur,12.11,30.27,68.01,70.72,46,62.0
2023,3,1,Thiruvottiyur,23.62,30.75,67.22,72.93,23,46.0
2023,4,1,Thiruvottiyur,26.26,35.51,55.7,67.9,48,23.0
2023,5,1,Thiruvottiyur,12.4,34.58,65.28,65.57,44,48.0
2023,6,1,Thiruvottiyur,10.34,39.01,47.72,63.5,96,44.0
2023,7,1,Thiruvottiyur,58.89,30.17,61.5,67.66,60,96.0
2023,8,1,Thiruvottiyur,25.67,28.75,65.8,69.62,43,60.0
2023,9,1,Thiruvottiyur,18.99,29.43,64.55,65.91,33,43.0
2023,10,1,Thiruvottiyur,225.71,27.59,46.74,55.65,65,33.0
2023,11,1,Thiruvottiyur,673.26,25.03,23.15,55.98,101,65.0
2023,12,1,Thiruvottiyur,890.27,28.83,10.0,62.05,126,101.0
2024,1,1,Thiruvottiyur,314.71,26.06,48.97,60.84,50,126.0
2024,2,1,Thiruvottiyur,15.02,28.74,67.02,70.26,24,50.0
2024,3,1,Thiruvottiyur,52.3,32.06,64.76,71.53,12,24.0
2024,4,1,Thiruvottiyur,18.5,34.75,67.67,64.41,15,12.0
2024,5,1,Thiruvottiyur,4.01,37.91,49.36,63.51,25,15.0
2024,6,1,Thiruvottiyur,7.47,35.88,60.12,65.32,26,25.0
2024,7,1,Thiruvottiyur,56.55,30.76,66.97,68.97,10,26.0
2024,8,1,Thiruvottiyur,22.72,31.86,62.65,65.09,22,10.0
2024,9,1,Thiruvottiyur,44.34,30.84,63.49,70.05,15,22.0
2024,10,1,Thiruvottiyur,128.69,26.16,56.15,58.01,23,15.0
2024,11,1,Thiruvottiyur,370.69,24.26,39.59,58.25,34,23.0
2024,12,1,Thiruvottiyur,273.61,25.74,45.37,62.27,28,34.0
2015,1,2,Manali,279.98,26.96,42.41,54.24,62,40.0
2015,2,2,Manali,11.84,31.05,60.03,58.51,53,62.0
2015,3,2,Manali,44.8,30.85,55.97,64.15,55,53.0
2015,4,2,Manali,9.57,40.76,42.87,60.7,78,55.0
2015,5,2,Manali,29.23,41.89,36.69,57.6,126,78.0
2015,6,2,Manali,10.93,38.03,43.31,62.54,109,126.0
2015,7,2,Manali,13.32,31.71,60.74,66.42,54,109.0
2015,8,2,Manali,46.88,30.26,57.25,62.52,45,54.0
2015,9,2,Manali,39.87,31.0,61.65,59.75,62,45.0
2015,10,2,Manali,358.15,25.19,34.67,54.77,83,62.0
2015,11,2,Manali,881.5,25.71,10.0,47.7,153,83.0
2015,12,2,Manali,673.8,28.09,16.52,53.74,146,153.0
2016,1,2,Manali,110.49,25.54,49.65,52.69,98,146.0
2016,2,2,Manali,54.21,29.14,57.12,64.11,46,98.0
2016,3,2,Manali,56.53,28.58,63.17,61.81,35,46.0
2016,4,2,Manali,2.0,38.15,49.93,62.37,44,35.0
2016,5,2,Manali,26.59,38.74,44.89,63.0,44,44.0
